   execution: local
        script: load-test/parsec_event_one_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 1 max VUs, 10m30s max duration (incl. graceful stop):
              * single_user: 1 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 1 пользователь, длительность 10 минут  source=console
INFO[0272] [73] skip=18250 | статус=200 | время=4589ms | тело=2330815 байт  source=console
INFO[0276] [74] skip=18500 | статус=200 | время=4646ms | тело=2073071 байт  source=console
INFO[0280] [75] skip=18750 | статус=200 | время=4671ms | тело=2094397 байт  source=console
INFO[0284] [76] skip=19000 | статус=200 | время=4763ms | тело=1914601 байт  source=console
INFO[0287] [77] skip=19250 | статус=200 | время=4668ms | тело=1688706 байт  source=console
INFO[0291] [78] skip=19500 | статус=200 | время=4761ms | тело=1622010 байт  source=console
INFO[0294] [79] skip=19750 | статус=200 | время=4752ms | тело=2190205 байт  source=console
INFO[0297] [80] skip=20000 | статус=200 | время=4824ms | тело=2293953 байт  source=console
INFO[0300] [81] skip=20250 | статус=200 | время=4794ms | тело=2231691 байт  source=console
INFO[0303] [82] skip=20500 | статус=200 | время=4828ms | тело=2393585 байт  source=console
INFO[0307] [83] skip=20750 | статус=200 | время=4982ms | тело=2495423 байт  source=console
INFO[0309] [84] skip=21000 | статус=200 | время=4959ms | тело=1993376 байт  source=console
INFO[0314] [85] skip=21250 | статус=200 | время=4859ms | тело=2144132 байт  source=console
INFO[0318] [86] skip=21500 | статус=200 | время=4960ms | тело=2334833 байт  source=console
INFO[0321] [87] skip=21750 | статус=200 | время=4905ms | тело=2337166 байт  source=console
INFO[0325] [88] skip=22000 | статус=200 | время=4915ms | тело=2203181 байт  source=console
INFO[0328] [89] skip=22250 | статус=200 | время=4895ms | тело=2124372 байт  source=console
INFO[0331] [90] skip=22500 | статус=200 | время=4009ms | тело=2190258 байт  source=console
INFO[0335] [91] skip=22750 | статус=200 | время=4327ms | тело=1932415 байт  source=console
INFO[0338] [92] skip=23000 | статус=200 | время=4936ms | тело=1820559 байт  source=console
