execution: local
        script: load-test/parsec_event_stage_load.js
        output: -

     scenarios: (100.00%) 1 scenario, 10 max VUs, 10m30s max duration (incl. graceful stop):
              * ramping_load: Up to 10 looping VUs for 10m0s over 3 stages (gracefulRampDown: 30s, gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста с постепенным изменением нагрузки  source=console
INFO[0000] 📈 Профиль: 0 → 10 VUs (3 мин) → 10 VUs (4 мин) → 0 VUs (3 мин)  source=console
INFO[0000] 📊 Метрики будут доступны для построения графиков в Grafana/K6 Cloud  source=console
INFO[0081] ⬆️ [RAMPUP] VU:3/10 | Iter:0 | Skip:200 | Status:200 | Time:7920ms | Events:250 | Size:1442.41KB  source=console
INFO[0082] ⬆️ [RAMPUP] VU:1/10 | Iter:12 | Skip:3000 | Status:200 | Time:4352ms | Events:250 | Size:1298.00KB  source=console
INFO[0085] ⬆️ [RAMPUP] VU:4/10 | Iter:18 | Skip:4800 | Status:200 | Time:5453ms | Events:250 | Size:1891.32KB  source=console
INFO[0085] ⬆️ [RAMPUP] VU:2/10 | Iter:7 | Skip:1850 | Status:200 | Time:6886ms | Events:250 | Size:1529.47KB  source=console
INFO[0086] ⬆️ [RAMPUP] VU:1/10 | Iter:13 | Skip:3250 | Status:200 | Time:4757ms | Events:250 | Size:1612.36KB  source=console
INFO[0087] ⬆️ [RAMPUP] VU:3/10 | Iter:1 | Skip:450 | Status:200 | Time:10445ms | Events:250 | Size:1239.76KB  source=console
INFO[0089] ⬆️ [RAMPUP] VU:2/10 | Iter:8 | Skip:2100 | Status:200 | Time:4656ms | Events:250 | Size:1514.86KB  source=console
INFO[0090] ⬆️ [RAMPUP] VU:4/10 | Iter:19 | Skip:5050 | Status:200 | Time:8454ms | Events:250 | Size:1833.58KB  source=console
INFO[0091] ⬆️ [RAMPUP] VU:3/10 | Iter:2 | Skip:700 | Status:200 | Time:4363ms | Events:250 | Size:1330.61KB  source=console
INFO[0091] ⬆️ [RAMPUP] VU:1/10 | Iter:14 | Skip:3500 | Status:200 | Time:7663ms | Events:250 | Size:1756.85KB  source=console
INFO[0093] ⬆️ [RAMPUP] VU:3/10 | Iter:3 | Skip:950 | Status:200 | Time:4275ms | Events:250 | Size:1374.89KB  source=console
INFO[0094] ⬆️ [RAMPUP] VU:1/10 | Iter:15 | Skip:3750 | Status:200 | Time:5431ms | Events:250 | Size:1557.02KB  source=console
INFO[0094] ⬆️ [RAMPUP] VU:2/10 | Iter:9 | Skip:2350 | Status:200 | Time:7605ms | Events:250 | Size:1642.94KB  source=console
INFO[0096] ⬆️ [RAMPUP] VU:4/10 | Iter:20 | Skip:5300 | Status:200 | Time:8235ms | Events:250 | Size:1721.29KB  source=console
INFO[0097] ⬆️ [RAMPUP] VU:8/10 | Iter:0 | Skip:700 | Status:200 | Time:4219ms | Events:250 | Size:1330.61KB  source=console
INFO[0097] ⬆️ [RAMPUP] VU:1/10 | Iter:16 | Skip:4000 | Status:200 | Time:6507ms | Events:250 | Size:1530.57KB  source=console
