   execution: local
        script: load-test/parsec_event_one_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 1 max VUs, 10m30s max duration (incl. graceful stop):
              * single_user: 1 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 1 пользователь, длительность 10 минут  source=console
INFO[0106] [26] skip=6500 | статус=200 | время=2523ms | тело=1987271 байт  source=console
INFO[0110] [27] skip=6750 | статус=200 | время=2462ms | тело=2013532 байт  source=console
INFO[0114] [28] skip=7000 | статус=200 | время=2534ms | тело=1909403 байт  source=console
INFO[0117] [29] skip=7250 | статус=200 | время=2599ms | тело=1895703 байт  source=console
INFO[0121] [30] skip=7500 | статус=200 | время=2516ms | тело=1957453 байт  source=console
INFO[0125] [31] skip=7750 | статус=200 | время=2442ms | тело=2147686 байт  source=console
INFO[0129] [32] skip=8000 | статус=200 | время=2380ms | тело=1958099 байт  source=console
INFO[0132] [33] skip=8250 | статус=200 | время=2539ms | тело=1788520 байт  source=console
INFO[0135] [34] skip=8500 | статус=200 | время=2355ms | тело=2229671 байт  source=console
INFO[0139] [35] skip=8750 | статус=200 | время=2414ms | тело=2112521 байт  source=console
INFO[0142] [36] skip=9000 | статус=200 | время=2360ms | тело=1773842 байт  source=console
INFO[0145] [37] skip=9250 | статус=200 | время=2343ms | тело=2106935 байт  source=console
INFO[0148] [38] skip=9500 | статус=200 | время=2387ms | тело=1745890 байт  source=console
INFO[0153] [39] skip=9750 | статус=200 | время=2539ms | тело=1685120 байт  source=console
INFO[0156] [40] skip=10000 | статус=200 | время=2676ms | тело=2083810 байт  source=console
INFO[0159] [41] skip=10250 | статус=200 | время=2389ms | тело=2065029 байт  source=console
INFO[0162] [42] skip=10500 | статус=200 | время=2326ms | тело=1951895 байт  source=console
INFO[0166] [43] skip=10750 | статус=200 | время=2341ms | тело=2084276 байт  source=console
INFO[0170] [44] skip=11000 | статус=200 | время=2340ms | тело=1709817 байт  source=console
INFO[0173] [45] skip=11250 | статус=200 | время=2640ms | тело=1490247 байт  source=console
INFO[0177] [46] skip=11500 | статус=200 | время=2787ms | тело=1514098 байт  source=console
INFO[0182] [47] skip=11750 | статус=200 | время=2420ms | тело=1519443 байт  source=console
INFO[0186] [48] skip=12000 | статус=200 | время=2524ms | тело=1555528 байт  source=console
INFO[0190] [49] skip=12250 | статус=200 | время=2484ms | тело=1474325 байт  source=console
INFO[0194] [50] skip=12500 | статус=200 | время=2559ms | тело=1481433 байт  source=console
INFO[0198] [51] skip=12750 | статус=200 | время=2450ms | тело=1557419 байт  source=console
INFO[0201] [52] skip=13000 | статус=200 | время=2454ms | тело=1489812 байт  source=console
INFO[0206] [53] skip=13250 | статус=200 | время=2455ms | тело=1560487 байт  source=console
INFO[0208] [54] skip=13500 | статус=200 | время=2398ms | тело=1553556 байт  source=console
INFO[0211] [55] skip=13750 | статус=200 | время=2429ms | тело=1500367 байт  source=console
INFO[0214] [56] skip=14000 | статус=200 | время=2413ms | тело=1600464 байт  source=console
INFO[0217] [57] skip=14250 | статус=200 | время=2553ms | тело=1568720 байт  source=console
INFO[0222] [58] skip=14500 | статус=200 | время=2456ms | тело=1618878 байт  source=console
