 execution: local
        script: load-test/parsec_event_five_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 5 max VUs, 10m30s max duration (incl. graceful stop):
              * multiple_users: 5 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 5 пользователей, длительность 10 минут  source=console
INFO[0069] [VU5][ITER12] skip=3400 | статус=200 | время=4048ms | тело=1797113 байт  source=console
INFO[0069] [VU2][ITER10] skip=2600 | статус=200 | время=6038ms | тело=1579199 байт  source=console
INFO[0070] [VU3][ITER12] skip=3200 | статус=200 | время=4552ms | тело=1577864 байт  source=console
INFO[0072] [VU4][ITER13] skip=3550 | статус=200 | время=4266ms | тело=1831541 байт  source=console
INFO[0072] [VU1][ITER13] skip=3250 | статус=200 | время=3643ms | тело=1651061 байт  source=console
INFO[0076] [VU2][ITER11] skip=2850 | статус=200 | время=6418ms | тело=1380333 байт  source=console
INFO[0076] [VU5][ITER13] skip=3650 | статус=200 | время=6483ms | тело=1695013 байт  source=console
INFO[0076] [VU3][ITER13] skip=3450 | статус=200 | время=6297ms | тело=1790613 байт  source=console
INFO[0077] [VU1][ITER14] skip=3500 | статус=200 | время=4469ms | тело=1799016 байт  source=console
INFO[0077] [VU4][ITER14] skip=3800 | статус=200 | время=4636ms | тело=1516784 байт  source=console
INFO[0082] [VU3][ITER14] skip=3700 | статус=200 | время=4384ms | тело=1642797 байт  source=console
INFO[0082] [VU2][ITER12] skip=3100 | статус=200 | время=4409ms | тело=1463341 байт  source=console
INFO[0084] [VU5][ITER14] skip=3900 | статус=200 | время=6189ms | тело=1529148 байт  source=console
INFO[0084] [VU4][ITER15] skip=4050 | статус=200 | время=6334ms | тело=1577662 байт  source=console
INFO[0084] [VU1][ITER15] skip=3750 | статус=200 | время=6079ms | тело=1594393 байт  source=console
INFO[0087] [VU3][ITER15] skip=3950 | статус=200 | время=3969ms | тело=1566828 байт  source=console
INFO[0087] [VU2][ITER13] skip=3350 | статус=200 | время=3933ms | тело=1697464 байт  source=console
INFO[0090] [VU5][ITER15] skip=4150 | статус=200 | время=5574ms | тело=1651977 байт  source=console
INFO[0091] [VU1][ITER16] skip=4000 | статус=200 | время=5730ms | тело=1567302 байт  source=console
INFO[0091] [VU2][ITER14] skip=3600 | статус=200 | время=3837ms | тело=1806312 байт  source=console
INFO[0092] [VU4][ITER16] skip=4300 | статус=200 | время=5748ms | тело=1807787 байт  source=console
INFO[0092] [VU3][ITER16] skip=4200 | статус=200 | время=4015ms | тело=1744188 байт  source=console
INFO[0096] [VU5][ITER16] skip=4400 | статус=200 | время=4211ms | тело=1786880 байт  source=console
INFO[0096] [VU4][ITER17] skip=4550 | статус=200 | время=4108ms | тело=1663272 байт  source=console
INFO[0097] [VU1][ITER17] skip=4250 | статус=200 | время=5498ms | тело=1770823 байт  source=console
INFO[0097] [VU2][ITER15] skip=3850 | статус=200 | время=5478ms | тело=1538646 байт  source=console
INFO[0100] [VU3][ITER17] skip=4450 | статус=200 | время=5999ms | тело=1703300 байт  source=console
INFO[0101] [VU1][ITER18] skip=4500 | статус=200 | время=3771ms | тело=1680942 байт  source=console
